Year,GDP_deflator,GDP_def_2012,GDP_def_2005
1929,9.424,0.09424,0.107800185
1930,9.079,0.09079,0.103853765
1931,8.146,0.08146,0.093181272
1932,7.193,0.07193,0.082280001
1933,6.993,0.06993,0.079992222
1934,7.376,0.07376,0.08437332
1935,7.528,0.07528,0.086112033
1936,7.62,0.0762,0.087164411
1937,7.947,0.07947,0.090904931
1938,7.72,0.0772,0.088308301
1939,7.644,0.07644,0.087438945
1940,7.736,0.07736,0.088491324
1941,8.258,0.08258,0.094462429
1942,8.915,0.08915,0.101977786
1943,9.323,0.09323,0.106644856
1944,9.544,0.09544,0.109172853
1945,9.791,0.09791,0.111998261
1946,11.054,0.11054,0.126445591
1947,12.267,0.12267,0.140320976
1948,12.956,0.12956,0.148202377
1949,12.935,0.12935,0.14796216
1950,13.095,0.13095,0.149792384
1951,14.024,0.14024,0.160419121
1952,14.266,0.14266,0.163187335
1953,14.439,0.14439,0.165166264
1954,14.573,0.14573,0.166699077
1955,14.819,0.14819,0.169513046
1956,15.324,0.15324,0.17528969
1957,15.832,0.15832,0.181100651
1958,16.192,0.16192,0.185218655
1959,16.414,0.16414,0.18775809
1960,16.638,0.16638,0.190320404
1961,16.815,0.16815,0.192345089
1962,17.02,0.1702,0.194690063
1963,17.215,0.17215,0.196920648
1964,17.477,0.17477,0.19991764
1965,17.798,0.17798,0.203589527
1966,18.296,0.18296,0.209286098
1967,18.827,0.18827,0.215360154
1968,19.628,0.19628,0.224522712
1969,20.591,0.20591,0.235538372
1970,21.677,0.21677,0.247961016
1971,22.776,0.22776,0.260532366
1972,23.761,0.23761,0.271799682
1973,25.063,0.25063,0.286693129
1974,27.318,0.27318,0.312487846
1975,29.849,0.29849,0.3414397
1976,31.491,0.31491,0.360222372
1977,33.448,0.33448,0.382608298
1978,35.801,0.35801,0.409524027
1979,38.771,0.38771,0.443497558
1980,42.273,0.42273,0.483556583
1981,46.273,0.46273,0.529312179
1982,49.132,0.49132,0.562015992
1983,51.056,0.51056,0.584024433
1984,52.898,0.52898,0.605094886
1985,54.571,0.54571,0.624232164
1986,55.67,0.5567,0.636803514
1987,57.046,0.57046,0.652543439
1988,59.059,0.59059,0.675569943
1989,61.374,0.61374,0.702050995
1990,63.671,0.63671,0.728326146
1991,65.825,0.65825,0.752965535
1992,67.325,0.67325,0.770123883
1993,68.92,0.6892,0.788368927
1994,70.392,0.70392,0.805206987
1995,71.868,0.71868,0.822090802
1996,73.183,0.73183,0.837132954
1997,74.445,0.74445,0.851568845
1998,75.283,0.75283,0.861154642
1999,76.37,0.7637,0.873588726
2000,78.078,0.78078,0.893126366
2001,79.79,0.7979,0.912709761
2002,81.052,0.81052,0.927145652
2003,82.557,0.82557,0.944361195
2004,84.78,0.8478,0.969789867
2005,87.421,0.87421,1
2006,90.066,0.90066,1.030255888
2007,92.486,0.92486,1.057938024
2008,94.285,0.94285,1.078516604
2009,95.004,0.95004,1.086741172
2010,96.111,0.96111,1.099404033
2011,98.118,0.98118,1.122361904
2012,100,1,1.143889912
2013,101.755,1.01755,1.16396518
2014,103.68,1.0368,1.185985061
2015,104.789,1.04789,1.1986708
2016,105.935,1.05935,1.211779778
2017,107.948,1.07948,1.234806282
2018,110.382,1.10382,1.262648563
