Year,Low,Medium,High,Very_High
1996,220000.0,220000.0,220000.0,220000.0
1997,260000.0,260000.0,260000.0,260000.0
1998,330000.0,330000.0,330000.0,330000.0
1999,370000.0,370000.0,370000.0,370000.0
2000,490000.0,490000.0,490000.0,490000.0
2001,580000.0,580000.0,580000.0,580000.0
2002,640000.0,640000.0,640000.0,640000.0
2003,710000.0,710000.0,710000.0,710000.0
2004,730000.0,730000.0,730000.0,730000.0
2005,820000.0,820000.0,820000.0,820000.0
2006,870000.0,870000.0,870000.0,870000.0
2007,760000.0,760000.0,760000.0,760000.0
2008,670000.0,670000.0,670000.0,670000.0
2009,680000.0,680000.0,680000.0,680000.0
2010,710000.0,710000.0,710000.0,710000.0
2011,750000.0,750000.0,750000.0,750000.0
2012,740000.0,740000.0,740000.0,740000.0
2013,780000.0,780000.0,780000.0,780000.0
2014,890000.0,890000.0,890000.0,890000.0
2015,950000.0,950000.0,950000.0,950000.0
2016,950000.0,950000.0,950000.0,950000.0
2017,940000.0,940000.0,940000.0,940000.0
2018,1040000.0,1040000.0,1040000.0,1040000.0
2019,1160000.0,1160000.0,1160000.0,1160000.0
2020,1080000.0,1080000.0,1080000.0,1080000.0
2021,1120000.0,1120000.0,1120000.0,1120000.0
2022,1220000.0,1220000.0,1220000.0,1220000.0
2023,1241995.0,1241995.0,1241995.0,1241995.0
2024,1412016.0,1412016.0,1412016.0,1412016.0
2025,1538250.0,1538250.0,1538250.0,1538250.0
2026,1532126.1292553612,1606498.5601797064,1680870.9911040517,1733214.224603991
2027,1556801.5412272345,1672166.0496831909,1787530.5581391472,1868723.9698464838
2028,1581688.6384884717,1735343.7357092826,1888998.8329300934,1997141.1180796297
2029,1604625.7137620002,1796126.0199383702,1987626.3261147402,2122404.0268960437
2030,1625037.0231594443,1854603.7247814983,2084170.4264035523,2245739.2136203833
2031,1642780.0788195857,1910864.229089487,2178948.3793593887,2367625.70374972
2032,1657871.2180882376,1964991.5987166006,2272111.9793449636,2488262.95889508
2033,1670392.6246849615,2017066.71213385,2363740.7995827384,2607729.6336464575
2034,1680454.4562889906,2067167.3812796306,2453880.3062702706,2726048.429305274
2035,1688177.621905731,2115368.4678282687,2542559.3137508063,2843215.752154789
2036,1693685.4097884665,2161741.995050209,2629798.5803119517,2959216.2802451644
2037,1697099.2758031443,2206357.2554309904,2715615.2350588366,3074030.4301528814
2038,1698536.72015541,2249280.9142098106,2800025.108264211,3187638.2545582997
2039,1698110.262316965,2290577.108992398,2883043.9556678305,3300021.458098148
2040,1695927.0117806331,2330307.545587026,2964688.079393419,3411164.387833869
2041,1692088.567664724,2368531.59020688,3044974.6127490364,3521054.453602246
2042,1686691.1001079227,2405306.358176536,3123921.616245149,3629682.2291793646
2043,1679825.5302305357,2440686.7992751105,3201548.0683196853,3737041.376413551
2044,1671577.7606553365,2474725.7798435967,3277873.799031857,3843128.4744659415
2045,1662028.9285851344,2507474.161779074,3352919.3949730136,3947942.802201657
2046,1651255.665066423,2538980.8785338285,3426706.092001234,4051486.101943027
2047,1639330.350957819,2569293.0082329437,3499255.665508068,4153762.341046108
2048,1626321.364257429,2598455.844019612,3570590.323781795,4254777.480704173
2049,1612293.3159463801,2626512.961733284,3640732.6075201877,4354539.25710587
2050,1597307.2730246542,2653506.2850217796,3709705.297018905,4453056.977477065
